hero| self.rect.x:450,self.rect.y:400,self.live:500,self.damage:10, self.experience:0
spider| self.rect.x:656,self.rect.y:430,self.hp:50,self.vision:30,self.v:3,self.live_max:50
spider| self.rect.x:640,self.rect.y:414,self.hp:50,self.vision:30,self.v:3,self.live_max:50
spider| self.rect.x:674,self.rect.y:432,self.hp:50,self.vision:30,self.v:3,self.live_max:50
spider| self.rect.x:1114,self.rect.y:244,self.hp:50,self.vision:30,self.v:3,self.live_max:50
spider| self.rect.x:1038,self.rect.y:320,self.hp:50,self.vision:30,self.v:3,self.live_max:50
spider| self.rect.x:622,self.rect.y:592,self.hp:50,self.vision:30,self.v:3,self.live_max:50
spider| self.rect.x:622,self.rect.y:432,self.hp:50,self.vision:30,self.v:3,self.live_max:50
spider| self.rect.x:1038,self.rect.y:320,self.hp:50,self.vision:30,self.v:3,self.live_max:50
spider| self.rect.x:700,self.rect.y:490,self.hp:50,self.vision:30,self.v:3,self.live_max:50
spider| self.rect.x:1072,self.rect.y:302,self.hp:50,self.vision:30,self.v:3,self.live_max:50
spider| self.rect.x:698,self.rect.y:388,self.hp:50,self.vision:30,self.v:3,self.live_max:50
spider| self.rect.x:682,self.rect.y:532,self.hp:50,self.vision:30,self.v:3,self.live_max:50
spider| self.rect.x:638,self.rect.y:448,self.hp:50,self.vision:30,self.v:3,self.live_max:50
spider| self.rect.x:569,self.rect.y:420,self.hp:50,self.vision:30,self.v:3,self.live_max:50
spider| self.rect.x:1012,self.rect.y:242,self.hp:50,self.vision:30,self.v:3,self.live_max:50
spider| self.rect.x:658,self.rect.y:328,self.hp:50,self.vision:30,self.v:3,self.live_max:50
spider| self.rect.x:682,self.rect.y:532,self.hp:50,self.vision:30,self.v:3,self.live_max:50
spider| self.rect.x:1072,self.rect.y:302,self.hp:50,self.vision:30,self.v:3,self.live_max:50
spider| self.rect.x:742,self.rect.y:592,self.hp:50,self.vision:30,self.v:3,self.live_max:50
spider| self.rect.x:726,self.rect.y:472,self.hp:50,self.vision:30,self.v:3,self.live_max:50
spider| self.rect.x:2172,self.rect.y:220,self.hp:80,self.vision:50,self.v:4,self.live_max:80
spider| self.rect.x:2092,self.rect.y:300,self.hp:80,self.vision:50,self.v:4,self.live_max:80
spider| self.rect.x:2116,self.rect.y:276,self.hp:80,self.vision:50,self.v:4,self.live_max:80
spider| self.rect.x:2252,self.rect.y:300,self.hp:80,self.vision:50,self.v:4,self.live_max:80
spider| self.rect.x:2172,self.rect.y:220,self.hp:80,self.vision:50,self.v:4,self.live_max:80
spider| self.rect.x:2116,self.rect.y:164,self.hp:80,self.vision:50,self.v:4,self.live_max:80
spider| self.rect.x:2172,self.rect.y:220,self.hp:80,self.vision:50,self.v:4,self.live_max:80
spider| self.rect.x:2252,self.rect.y:140,self.hp:80,self.vision:50,self.v:4,self.live_max:80
spider| self.rect.x:2172,self.rect.y:220,self.hp:80,self.vision:50,self.v:4,self.live_max:80
spider| self.rect.x:2140,self.rect.y:140,self.hp:80,self.vision:50,self.v:4,self.live_max:80
spider| self.rect.x:2036,self.rect.y:356,self.hp:80,self.vision:50,self.v:4,self.live_max:80
spider| self.rect.x:2196,self.rect.y:196,self.hp:80,self.vision:50,self.v:4,self.live_max:80
spider| self.rect.x:2196,self.rect.y:196,self.hp:80,self.vision:50,self.v:4,self.live_max:80
spider| self.rect.x:2036,self.rect.y:356,self.hp:80,self.vision:50,self.v:4,self.live_max:80
spider| self.rect.x:2036,self.rect.y:196,self.hp:80,self.vision:50,self.v:4,self.live_max:80
spider| self.rect.x:2252,self.rect.y:140,self.hp:80,self.vision:50,self.v:4,self.live_max:80
spider| self.rect.x:2036,self.rect.y:244,self.hp:80,self.vision:50,self.v:4,self.live_max:80
spider| self.rect.x:2092,self.rect.y:140,self.hp:80,self.vision:50,self.v:4,self.live_max:80
spider| self.rect.x:2116,self.rect.y:164,self.hp:80,self.vision:50,self.v:4,self.live_max:80
spider| self.rect.x:1980,self.rect.y:140,self.hp:80,self.vision:50,self.v:4,self.live_max:80
spider| self.rect.x:2092,self.rect.y:140,self.hp:80,self.vision:50,self.v:4,self.live_max:80
spider| self.rect.x:1980,self.rect.y:140,self.hp:80,self.vision:50,self.v:4,self.live_max:80
spider| self.rect.x:2116,self.rect.y:276,self.hp:80,self.vision:50,self.v:4,self.live_max:80
spider| self.rect.x:2036,self.rect.y:244,self.hp:80,self.vision:50,self.v:4,self.live_max:80
spider| self.rect.x:2196,self.rect.y:244,self.hp:80,self.vision:50,self.v:4,self.live_max:80
spider| self.rect.x:2116,self.rect.y:276,self.hp:80,self.vision:50,self.v:4,self.live_max:80
spider| self.rect.x:2116,self.rect.y:276,self.hp:80,self.vision:50,self.v:4,self.live_max:80
spider| self.rect.x:2172,self.rect.y:220,self.hp:80,self.vision:50,self.v:4,self.live_max:80
spider| self.rect.x:2036,self.rect.y:244,self.hp:80,self.vision:50,self.v:4,self.live_max:80
spider| self.rect.x:2116,self.rect.y:276,self.hp:80,self.vision:50,self.v:4,self.live_max:80
spider| self.rect.x:2146,self.rect.y:1068,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2146,self.rect.y:1068,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2286,self.rect.y:1068,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2216,self.rect.y:998,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2146,self.rect.y:1068,self.hp:100,self.vision:80,self.v:5,self.live_max:100
spider| self.rect.x:2086,self.rect.y:1068,self.hp:100,self.vision:80,self.v:5,self.live_max:100
